ra,dec,Source_Name,Type,Fx(uJy),Porb,Name2,Name3,Actual_Name,Object Type,Flag,New_Name,New_Type
16.28708333,-72.19555556,J0105-722       ,TP    ,0.1,          ,J0105.1-7211 ,0,2MASS J01050959-7211470,IR,0,RX J0105.1-7211,HMXB
16.56291667,-72.09027778,J0106.2-7205    ,      ,0.005,          ,0,0,2MASS J01061515-7205330,Candidate_RGB*,0,OGLE SMC725.12.000065,EB*
17.785,-73.27944444,J0111.2-7317    ,TP    ,15,          ,0,0,RX J0111.2-7317,HMXB,1,0.0,0.0
19.51166667,65.28861111, 0114+650       ,P     ,4,11.6,0,LS I+65 010,V* V662 Cas,HMXB,1,0.0,0.0
19.63291667,63.74, 0115+634       ,TP    ,2,24.3,0,0,V* V635 Cas,HMXB,1,0.0,0.0
19.27166667,-73.44305556, 0115-737       ,P     ,0.5,3.89,SMC X-1      ,0,SK  160,HMXB,1,0.0,0.0
19.4225,-73.51361111,J0117.6-7330    ,TP    ,10,          ,0,0,[MA93] 1845,HMXB,1,0.0,0.0
25.88583333,61.10722222,J0146.9+6121    ,      ,1,          ,0,0,0,0,0,0.0,0.0
40.13166667,61.22916667, 0236+610       ,      ,0.2,26.45,0,V615 Cas,LS   I +61  303,HMXB,1,0.0,0.0
53.74958333,53.17305556, 0331+530       ,TP    ,0.5,34.25,0,0,V* BQ Cam,HMXB,1,0.0,0.0
58.84583333,31.04583333, 0352+309       ,P     ,9,580,0,0,V* X Per,HMXB,1,0.0,0.0
64.94166667,55.99,J0421+560       ,T     ,2000,          ,0,0,V* CI Cam,HMXB,1,0.0,0.0
70.24958333,44.53083333,J0440.9+4431    ,P     ,1,          ,0,0,LS   V +44   17,HMXB,1,0.0,0.0
75.34958333,-70.55916667,J0501.6-7034    ,      ,           ,          ,CAL 9        ,0,SV* HV  2289,HMXB,1,0.0,0.0
75.715,-66.44027778,J0502.9-6626    ,TP    ,5.7,          ,CAL E        ,0,RX J0502.9-6626,HMXB,1,0.0,0.0
78.17416667,-67.28972222,J0512.6-6717    ,      ,           ,          ,0,0,RX J0512.6-6717,HMXB,1,0.0,0.0
79.00041667,-69.26916667,J0516.0-6916    ,T     ,0.07,          ,0,0,RX J0516.0-6916,HMXB,1,0.0,0.0
80.12625,-69.53444444,J0520.5-6932    ,T     ,           ,          ,0,0,OGLE-CL LMC 375,Cl*,0,OGLE LMC-ECL-31939,EB*
80.64666667,37.67611111, 0521+373       ,      ,1,          ,0,SAO57950,HD  34921,HMXB,1,0.0,0.0
82.45166667,-65.9475,J0529.8-6556    ,TP    ,0.17,          ,0,0,RX J0529.7-6556,HMXB,1,0.0,0.0
82.80416667,-66.11833333, 053109-6609.2  ,TP    ,1,25.4,0,0,RX J0531.2-6609,HMXB,1,0.0,0.0
