ra,dec,Source_Name,Type,Fx(uJy),Porb,Final_Names,Final_Type
266.4041667,-29.01861111, 1742-289       ,TB(?) ,9,          ,SSTGC 517174,LPV*
266.4195833,-29.00305556, 1742.5-2859    ,      ,1,          ,SWIFT J174540.7-290015,LMXB
266.42875,-28.78138889, 1742.5-2845    ,      ,0.15,          ,1E 1742.5-2845,LMXB
266.4704167,-29.05611111, 1742.7-2902    ,      ,0.2,          ,1E 1742.7-2902,LMXB
266.5,-28.91361111, 1742.8-2853    ,      ,0.2,          ,2MASS J17455993-2854498,LMXB
266.5204167,-28.88694444, 1742.9-2852    ,      ,0.2,          ,1E 1742.9-2852,LMXB
266.5258333,-29.51833333, 1742-294       ,B     ,60,          ,2E  3943,LMXB
266.5404167,-28.85111111, 1742.9-2849    ,      ,0.2,          ,INTREF   837,LMXB
266.58,-28.73527778, 1743.1-2843    ,      ,0.5,          ,SSTGC 631389,LPV*
266.58125,-28.89527778, 1743.1-2852    ,      ,0.2,          ,SSTGC 631062,LPV*
266.6958333,-28.89472222, 1743-288       ,TB    ,1,          ,OGLE BLG-ECL-101453,EB*
266.8570833,-29.99527778, 1744-299       ,      ,6,          ,AX J1747.4-3000,LMXB
266.1379167,-28.74138889,J1744-28        ,TBP   ,4700,284.02,3FHL J1746.2-2852,LMXB
266.8579167,-30.04194444, 1744-300       ,B     ,4,          ,1RXS J174725.6-300241,LMXB
266.9833333,-26.56361111, 1744-265       ,BA    ,400,          ,X Sgr X-1,LMXB
267.0558333,-36.13138889, 1744-361       ,T     ,25,          ,[KRL2007b] 281,LMXB
266.4,-29.02611111,J1745.6-2901    ,TB    ,0.4,8.4,[SKM2002] 27,LMXB
267.2333333,-24.89444444, 1745-248       ,TGB   ,0.1,          ,[ZGV2011] 6,LMXB
267.2229167,-20.36722222, 1745-203       ,GT    ,0.1,          ,[ZGV2011] 3,LMXB
267.4608333,-33.19861111, 1746-331       ,U     ,27,          ,RX J1749.8-3312,LMXB
267.5145833,-32.42861111, 1746.7-3224    ,      ,0.1,          ,2E 1746.7-3225,LMXB
267.5529167,-37.05222222, 1746-370       ,GBA   ,32,5.7,4U 1746-371,LMXB
267.6070833,-21.4225, 1747-214       ,TB    ,70,          ,EXO 1747-214,LMXB
267.6895833,-31.29222222, 1747-313       ,G     ,1.5,12.36,[ZGV2011] 5,LMXB
267.0210833,-28.47383333,J1748-288       ,T     ,640,          ,AX J1748.0-2829,LMXB
267.2225,-20.36194444,J1748.9-2021    ,TGB   ,30,          ,4U 1745-203,LMXB
268.0666667,-28.50611111, 1749-285       ,T     ,60,          ,1RXS J175229.0-282951,LMXB
267.6,-29.03833333,J1750.8-2900    ,TB    ,130,          ,SAX J1750.8-2900,LMXB
268.1,-31.62833333,J1752.3-3138    ,B     ,740,          ,SAX J1752.3-3138,LMXB
269.6666667,-33.8075, 1755-338       ,DU    ,100,4.46,V* V4134 Sgr,LMXB
268.8691667,-32.4775,J1755-324       ,T     ,180,          ,INTREF   866,LMXB
270.2841667,-25.07916667, 1758-250       ,Z     ,1250,          ,4U 1758-25,LMXB
270.3029167,-25.74055556, 1758-258       ,U     ,20,          ,2XMM J180112.4-254436,LMXB
270.3845833,-20.52888889, 1758-205       ,A     ,700,          ,X Sgr X-3,LMXB
271.7091667,-24.5875, 1803-245       ,T     ,2,          ,2S 1803-245,LMXB
271.7125,-24.585,J1806-246       ,TB(?)A,440,          ,2S 1803-245,LMXB
272.11475,-36.97897222,J1808.4-3658    ,TPB   ,110,2.014167,V* V4580 Sgr,LMXB
272.6854167,-26.15027778,J1810.8-2609    ,TB    ,16,          ,V* V4722 Sgr,LMXB
273.6295833,-17.15722222, 1811-171       ,AB    ,350,592.8,V* V5512 Sgr,LMXB
273.8,-12.08333333, 1812-12        ,B     ,15,          ,4U 1812-12,LMXB
274.0058333,-14.03638889, 1813-140       ,ZB    ,700,          ,V* NP Ser,LMXB
274.8395,-25.42666667,J1819.3-2525    ,T     ,1,          ,V* GM Sgr,Nova
275.9191667,-30.36138889, 1820-303       ,GBA   ,250,0.19,X Sgr X-4,LMXB
276.445,-37.10527778, 1822-371       ,D     ,10,5.57,V* V691 CrA,LMXB
276.3420833,-0.01222222, 1822-000       ,      ,25,          ,4U 1823-00,LMXB
