Date_Observed,Proposal_ID,Target_ID,ra,dec,Observation_ID,Instrument,Time_Observed,SIMBAD_Name,Source_Type
2019-01-05,A05_084,T06,53.819120999999996,-35.22625,A05_084T06_9000002626:: NGC 1374,uvit1,16:56:15,NGC  1374,GinPair
2019-01-05,T03_040,T01,192.270833,43.095,T03_040T01_9000002628:: KISSR1381,uvit1,20:25:10,KISS F1246-148,EmG
2019-01-06,T03_042,T01,208.258333,42.970556,T03_042T01_9000002630:: KISSR1667/1671*,uvit1,19:07:58,SDSS J135259.95+425729.3,QSO
2019-01-08,T03_070,T01,51.17125,34.179444000000004,T03_070T01_9000002632:: 1h0323+342_1,uvit1,10:03:29,QSO J0324+3410,BLLac
2019-01-08,T03_070,T02,51.038458,34.069371999999994,T03_070T02_9000002634:: 1h0323+342_2,uvit1,13:14:50,0.0,0.0
2019-01-08,T03_070,T03,51.304208,34.179372,T03_070T03_9000002636:: 1h0323+342_3,uvit1,16:30:05,1SWASP J032515.17+341031.6,V*
2019-01-08,T03_070,T04,51.038292,34.179372,T03_070T04_9000002638:: 1h0323+342_4,uvit1,19:44:55,0.0,0.0
2019-01-09,T03_070,T05,51.304375,34.289372,T03_070T05_9000002640:: 1h0323+342_5,uvit1,00:53:17,0.0,0.0
2019-01-09,T03_070,T06,51.038125,34.289372,T03_070T06_9000002642:: 1h0323+342_6,uvit1,08:43:21,0.0,0.0
2019-01-09,T03_070,T07,51.17125,34.069444,T03_070T07_9000002644:: 1h0323+342_7,uvit1,13:30:35,0.0,0.0
2019-01-09,T03_070,T08,51.17125,34.289444,T03_070T08_9000002646:: 1h0323+342_8,uvit1,18:22:55,0.0,0.0
2019-01-10,T03_070,T09,51.304041999999995,34.069371999999994,T03_070T09_9000002648:: 1h0323+342_9,uvit1,01:08:21,0.0,0.0
2019-01-10,A05_015,T01,166.11375,38.208889,A05_015T01_9000002650:: Mkn 421,sxt,07:22:50,Mrk  421,BLLac
2019-01-14,A05_025,T04,78.52816700000001,-40.046556,A05_025T04_9000002652:: NGC 1851,uvit1,18:54:12,NGC  1851,GlCl
2019-01-15,T03_061,T01,86.757871,-34.250609999999995,T03_061T01_9000002654:: ngc2090,uvit1,04:13:11,NGC  2090,GinGroup
2019-01-15,A05_101,T06,18.593871,-55.398709999999994,A05_101T06_9000002656:: NGC 0454,uvit1,12:39:49,NGC   454,PairG
2019-01-15,A05_085,T01,90.19976700000001,-39.918583,A05_085T01_9000002658:: JW108,uvit1,18:49:57,2MASX J06004799-3955068,EmG
2019-01-17,T03_075,T01,185.341421,30.176975,T03_075T01_9000002660:: 1ES 1218+304,sxt,18:07:43,QSO B1218+304,BLLac
2019-01-19,A05_109,T01,169.2275,18.051667000000002,A05_109T01_9000002662:: NGC3607,uvit1,07:37:32,[VV2006] J111654.8+180304,QSO
2019-01-19,C04_011,T01,25.36975,83.583028,C04_011T01_9000002664:: GD419,uvit1,17:20:35,GD 419,WD*
2019-01-19,A05_227,T07,74.69275,29.843583000000002,A05_227T07_9000002666:: HD 31648,uvit1,20:26:43,HD  31648,Ae*
2019-01-19,A05_096,T06,84.429171,-70.57083,A05_096T06_9000002668:: RX J0537.7-7034,uvit1,23:46:11,RX J0537.6-7033,XB
2019-01-20,T03_025,T01,148.888221,69.06529,T03_025T01_9000002670:: M81,uvit1,20:39:32,M  81,Seyfert_2
2019-01-23,A05_019,T01,51.17125,34.179444000000004,A05_019T01_9000002672:: 1H 0323+342,sxt,08:55:44,QSO J0324+3410,BLLac
2019-01-24,C04_009,T03,12.08,85.223917,C04_009T03_9000002674:: NGC 188,uvit1,15:33:25,Cl* NGC  188    DGV     702,Star
